Using device: cuda:0
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 20,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'Adagrad',
 'server_opt_lr': 0.0001,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.5619266055045872, 'testing_loss': 0.6776146708278481, 'training_loss': 0.44574072576659757, 'variance': 0.01416950486600399, 'avg_norm_sq_drifts': 0.016396526247262955, 'norm_sq_avg_drift': 0.002227021846920252, 'round_steps': 1760}
{'round': 2, 'accuracy': 0.7924311926605505, 'testing_loss': 0.4902340069823309, 'training_loss': 0.24472245501767081, 'variance': 0.015609250403940678, 'avg_norm_sq_drifts': 0.02758704125881195, 'norm_sq_avg_drift': 0.011977790854871273, 'round_steps': 1760}
{'round': 3, 'accuracy': 0.9059633027522935, 'testing_loss': 0.32467728033405513, 'training_loss': 0.15008485566478075, 'variance': 0.021041937172412872, 'avg_norm_sq_drifts': 0.029265297576785088, 'norm_sq_avg_drift': 0.00822335947304964, 'round_steps': 1760}
{'round': 4, 'accuracy': 0.9243119266055045, 'testing_loss': 0.26553696273920047, 'training_loss': 0.11209073617411461, 'variance': 0.024123018607497215, 'avg_norm_sq_drifts': 0.028793901205062866, 'norm_sq_avg_drift': 0.004670882131904364, 'round_steps': 1760}
{'round': 5, 'accuracy': 0.9220183486238532, 'testing_loss': 0.289696119544139, 'training_loss': 0.06084618405925788, 'variance': 0.014042340219020844, 'avg_norm_sq_drifts': 0.01601915992796421, 'norm_sq_avg_drift': 0.0019768194761127234, 'round_steps': 1760}
{'round': 6, 'accuracy': 0.8772935779816514, 'testing_loss': 0.506594977999499, 'training_loss': 0.06576070323410518, 'variance': 0.01527259312570095, 'avg_norm_sq_drifts': 0.01763293519616127, 'norm_sq_avg_drift': 0.002360342536121607, 'round_steps': 1760}
{'round': 7, 'accuracy': 0.9334862385321101, 'testing_loss': 0.24897125993060684, 'training_loss': 0.10762529318279121, 'variance': 0.024917343631386757, 'avg_norm_sq_drifts': 0.028747523203492165, 'norm_sq_avg_drift': 0.0038301788736134768, 'round_steps': 1760}
{'round': 8, 'accuracy': 0.926605504587156, 'testing_loss': 0.27563222907718543, 'training_loss': 0.08763662290320182, 'variance': 0.022417278960347176, 'avg_norm_sq_drifts': 0.025603163987398148, 'norm_sq_avg_drift': 0.003185885027050972, 'round_steps': 1760}
{'round': 9, 'accuracy': 0.926605504587156, 'testing_loss': 0.27044854176106836, 'training_loss': 0.07186432182959504, 'variance': 0.018988890573382378, 'avg_norm_sq_drifts': 0.021423567086458206, 'norm_sq_avg_drift': 0.0024346772115677595, 'round_steps': 1760}
{'round': 10, 'accuracy': 0.9277522935779816, 'testing_loss': 0.29794188301664254, 'training_loss': 0.07039268435254185, 'variance': 0.018650995567440987, 'avg_norm_sq_drifts': 0.020978761836886406, 'norm_sq_avg_drift': 0.0023277660366147757, 'round_steps': 1760}
{'round': 11, 'accuracy': 0.9243119266055045, 'testing_loss': 0.33353747504041314, 'training_loss': 0.05398938177349918, 'variance': 0.016912948340177536, 'avg_norm_sq_drifts': 0.018922148272395134, 'norm_sq_avg_drift': 0.0020092001650482416, 'round_steps': 1760}
{'round': 12, 'accuracy': 0.930045871559633, 'testing_loss': 0.2691069205949476, 'training_loss': 0.06359415268846946, 'variance': 0.017898283898830414, 'avg_norm_sq_drifts': 0.020283594727516174, 'norm_sq_avg_drift': 0.0023853108286857605, 'round_steps': 1760}
{'round': 13, 'accuracy': 0.9288990825688074, 'testing_loss': 0.31191379068111746, 'training_loss': 0.03593689906656933, 'variance': 0.012616408988833427, 'avg_norm_sq_drifts': 0.014132908545434475, 'norm_sq_avg_drift': 0.001516499207355082, 'round_steps': 1760}
{'round': 14, 'accuracy': 0.9243119266055045, 'testing_loss': 0.3083497828722786, 'training_loss': 0.049527553307515605, 'variance': 0.016169967129826546, 'avg_norm_sq_drifts': 0.018064050003886223, 'norm_sq_avg_drift': 0.0018940833397209644, 'round_steps': 1760}
{'round': 15, 'accuracy': 0.9220183486238532, 'testing_loss': 0.30753419515484554, 'training_loss': 0.04114301839656863, 'variance': 0.01491603534668684, 'avg_norm_sq_drifts': 0.016606269404292107, 'norm_sq_avg_drift': 0.0016902340576052666, 'round_steps': 1760}
{'round': 16, 'accuracy': 0.926605504587156, 'testing_loss': 0.32166504890363184, 'training_loss': 0.04413808730906814, 'variance': 0.01475824136286974, 'avg_norm_sq_drifts': 0.01642032526433468, 'norm_sq_avg_drift': 0.0016620836686342955, 'round_steps': 1760}
{'round': 17, 'accuracy': 0.926605504587156, 'testing_loss': 0.2933623782581214, 'training_loss': 0.055509684752763536, 'variance': 0.0175541490316391, 'avg_norm_sq_drifts': 0.01969938538968563, 'norm_sq_avg_drift': 0.0021452363580465317, 'round_steps': 1760}
{'round': 18, 'accuracy': 0.9311926605504587, 'testing_loss': 0.2819010657685544, 'training_loss': 0.047013747114860144, 'variance': 0.0164497010409832, 'avg_norm_sq_drifts': 0.018337128683924675, 'norm_sq_avg_drift': 0.0018874281086027622, 'round_steps': 1760}
