Using device: cuda:0
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 1,
 'max_epochs': 28,
 'total_rounds': 200,
 'fda': True,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'Adam',
 'server_opt_lr': 0.0001,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.4908256880733945, 'testing_loss': 0.750262629548344, 'training_loss': 0.6131550418382341, 'variance': 0.0010036120656877756, 'avg_norm_sq_drifts': 0.0010158477816730738, 'norm_sq_avg_drift': 1.2235770554980263e-05, 'round_steps': 88}
{'round': 2, 'accuracy': 0.6811926605504587, 'testing_loss': 0.6525730474279561, 'training_loss': 0.3589905660349003, 'variance': 0.013494858518242836, 'avg_norm_sq_drifts': 0.02076454646885395, 'norm_sq_avg_drift': 0.007269688416272402, 'round_steps': 1320}
{'round': 3, 'accuracy': 0.6697247706422018, 'testing_loss': 0.6121695842081254, 'training_loss': 0.3223643196021445, 'variance': 0.01152317225933075, 'avg_norm_sq_drifts': 0.030437326058745384, 'norm_sq_avg_drift': 0.018914153799414635, 'round_steps': 1496}
{'round': 4, 'accuracy': 0.8910550458715596, 'testing_loss': 0.386653624500635, 'training_loss': 0.19632308853016617, 'variance': 0.009199375286698341, 'avg_norm_sq_drifts': 0.016115467995405197, 'norm_sq_avg_drift': 0.0069160922430455685, 'round_steps': 968}
{'round': 5, 'accuracy': 0.911697247706422, 'testing_loss': 0.37727678064983167, 'training_loss': 0.09328518944927386, 'variance': 0.011748719960451126, 'avg_norm_sq_drifts': 0.013810436241328716, 'norm_sq_avg_drift': 0.0020617160480469465, 'round_steps': 1408}
{'round': 6, 'accuracy': 0.911697247706422, 'testing_loss': 0.38021766493489983, 'training_loss': 0.11618757567137969, 'variance': 0.01075242180377245, 'avg_norm_sq_drifts': 0.013507264666259289, 'norm_sq_avg_drift': 0.0027548426296561956, 'round_steps': 792}
{'round': 7, 'accuracy': 0.9277522935779816, 'testing_loss': 0.2606628279398204, 'training_loss': 0.14812489186022415, 'variance': 0.017605479806661606, 'avg_norm_sq_drifts': 0.02118663862347603, 'norm_sq_avg_drift': 0.0035811583511531353, 'round_steps': 1144}
{'round': 8, 'accuracy': 0.926605504587156, 'testing_loss': 0.225346993221346, 'training_loss': 0.10726457265916003, 'variance': 0.01948772743344307, 'avg_norm_sq_drifts': 0.02279706671833992, 'norm_sq_avg_drift': 0.0033093392848968506, 'round_steps': 1496}
{'round': 9, 'accuracy': 0.9288990825688074, 'testing_loss': 0.22076630748278642, 'training_loss': 0.08050237585154132, 'variance': 0.016369270160794258, 'avg_norm_sq_drifts': 0.01874212920665741, 'norm_sq_avg_drift': 0.002372858813032508, 'round_steps': 1584}
{'round': 10, 'accuracy': 0.9243119266055045, 'testing_loss': 0.27381969857085153, 'training_loss': 0.08172837726612911, 'variance': 0.013568472117185593, 'avg_norm_sq_drifts': 0.015779534354805946, 'norm_sq_avg_drift': 0.00221106200478971, 'round_steps': 1408}
{'round': 11, 'accuracy': 0.8807339449541285, 'testing_loss': 0.47564427686829563, 'training_loss': 0.06770960902258978, 'variance': 0.01219703909009695, 'avg_norm_sq_drifts': 0.013960273936390877, 'norm_sq_avg_drift': 0.001763234962709248, 'round_steps': 1320}
