Using device: cuda:1
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 20,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'SGD',
 'server_opt_momentum': 0.9,
 'server_opt_lr': 1.0,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.4908256880733945, 'testing_loss': 0.7071326478905634, 'training_loss': 0.44574072576659757, 'variance': 0.01416950486600399, 'avg_norm_sq_drifts': 0.016396526247262955, 'norm_sq_avg_drift': 0.002227021846920252, 'round_steps': 1760}
{'round': 2, 'accuracy': 0.5091743119266054, 'testing_loss': 0.8116887736757961, 'training_loss': 0.3353551636084079, 'variance': 0.012391988188028336, 'avg_norm_sq_drifts': 0.017608175054192543, 'norm_sq_avg_drift': 0.00521618640050292, 'round_steps': 1760}
{'round': 3, 'accuracy': 0.8795871559633027, 'testing_loss': 0.3291694509600281, 'training_loss': 0.33539404038027654, 'variance': 0.01530018262565136, 'avg_norm_sq_drifts': 0.036271996796131134, 'norm_sq_avg_drift': 0.020971814170479774, 'round_steps': 1760}
{'round': 4, 'accuracy': 0.911697247706422, 'testing_loss': 0.3927241332632481, 'training_loss': 0.16450356623766393, 'variance': 0.02235564962029457, 'avg_norm_sq_drifts': 0.03508905693888664, 'norm_sq_avg_drift': 0.012733406387269497, 'round_steps': 1760}
{'round': 5, 'accuracy': 0.9013761467889908, 'testing_loss': 0.5355871117170772, 'training_loss': 0.09225382054487868, 'variance': 0.018241090700030327, 'avg_norm_sq_drifts': 0.021437713876366615, 'norm_sq_avg_drift': 0.003196623409166932, 'round_steps': 1760}
{'round': 6, 'accuracy': 0.7213302752293578, 'testing_loss': 1.375213258081103, 'training_loss': 0.09155437441721007, 'variance': 0.020603230223059654, 'avg_norm_sq_drifts': 0.025117507204413414, 'norm_sq_avg_drift': 0.004514277447015047, 'round_steps': 1760}
{'round': 7, 'accuracy': 0.8784403669724771, 'testing_loss': 0.3703555238343468, 'training_loss': 0.14045028653916067, 'variance': 0.02781905233860016, 'avg_norm_sq_drifts': 0.03494308143854141, 'norm_sq_avg_drift': 0.007124028634279966, 'round_steps': 1760}
{'round': 8, 'accuracy': 0.9139908256880734, 'testing_loss': 0.27597080275134417, 'training_loss': 0.11738435544118767, 'variance': 0.024722492322325706, 'avg_norm_sq_drifts': 0.02975567616522312, 'norm_sq_avg_drift': 0.005033183842897415, 'round_steps': 1760}
{'round': 9, 'accuracy': 0.9071100917431193, 'testing_loss': 0.41162374035915605, 'training_loss': 0.08995693866388715, 'variance': 0.020123647525906563, 'avg_norm_sq_drifts': 0.024131376296281815, 'norm_sq_avg_drift': 0.0040077283047139645, 'round_steps': 1760}
{'round': 10, 'accuracy': 0.9059633027522935, 'testing_loss': 0.49783137106975334, 'training_loss': 0.09401981623729996, 'variance': 0.019560454413294792, 'avg_norm_sq_drifts': 0.023447832092642784, 'norm_sq_avg_drift': 0.003887378377839923, 'round_steps': 1760}
{'round': 11, 'accuracy': 0.8268348623853211, 'testing_loss': 1.20846374285716, 'training_loss': 0.08388171795007886, 'variance': 0.020552797242999077, 'avg_norm_sq_drifts': 0.024030186235904694, 'norm_sq_avg_drift': 0.0034773892257362604, 'round_steps': 1760}
{'round': 12, 'accuracy': 0.9002293577981652, 'testing_loss': 0.5223119319293759, 'training_loss': 0.0974070001606988, 'variance': 0.021242499351501465, 'avg_norm_sq_drifts': 0.02628769353032112, 'norm_sq_avg_drift': 0.005045195110142231, 'round_steps': 1760}
{'round': 13, 'accuracy': 0.9162844036697247, 'testing_loss': 0.3390801178150994, 'training_loss': 0.05495239104980032, 'variance': 0.01438205037266016, 'avg_norm_sq_drifts': 0.016658766195178032, 'norm_sq_avg_drift': 0.002276715589687228, 'round_steps': 1760}
{'round': 14, 'accuracy': 0.908256880733945, 'testing_loss': 0.33026991100031816, 'training_loss': 0.07464926524888121, 'variance': 0.01824602112174034, 'avg_norm_sq_drifts': 0.021569080650806427, 'norm_sq_avg_drift': 0.0033230590634047985, 'round_steps': 1760}
{'round': 15, 'accuracy': 0.9162844036697247, 'testing_loss': 0.31457221675566727, 'training_loss': 0.06774725514648086, 'variance': 0.017147613689303398, 'avg_norm_sq_drifts': 0.020400146022439003, 'norm_sq_avg_drift': 0.003252532798796892, 'round_steps': 1760}
{'round': 16, 'accuracy': 0.9208715596330275, 'testing_loss': 0.38660868350509875, 'training_loss': 0.06837976105313738, 'variance': 0.015776777639985085, 'avg_norm_sq_drifts': 0.018279919400811195, 'norm_sq_avg_drift': 0.002503142459318042, 'round_steps': 1760}
{'round': 17, 'accuracy': 0.911697247706422, 'testing_loss': 0.4135220421709047, 'training_loss': 0.07841999446220518, 'variance': 0.01850760728120804, 'avg_norm_sq_drifts': 0.021704040467739105, 'norm_sq_avg_drift': 0.0031964327208697796, 'round_steps': 1760}
{'round': 18, 'accuracy': 0.9243119266055045, 'testing_loss': 0.37196537870630714, 'training_loss': 0.06890553256373272, 'variance': 0.017564717680215836, 'avg_norm_sq_drifts': 0.020275192335247993, 'norm_sq_avg_drift': 0.0027104737237095833, 'round_steps': 1760}
{'round': 19, 'accuracy': 0.9288990825688074, 'testing_loss': 0.3130035148631811, 'training_loss': 0.07919885201486668, 'variance': 0.018713371828198433, 'avg_norm_sq_drifts': 0.02171807549893856, 'norm_sq_avg_drift': 0.0030047036707401276, 'round_steps': 1760}
{'round': 20, 'accuracy': 0.9231651376146789, 'testing_loss': 0.2881456737290671, 'training_loss': 0.05942650380201438, 'variance': 0.015014156699180603, 'avg_norm_sq_drifts': 0.01732826791703701, 'norm_sq_avg_drift': 0.00231411075219512, 'round_steps': 1760}
{'round': 21, 'accuracy': 0.930045871559633, 'testing_loss': 0.2877177159697642, 'training_loss': 0.05619363049582171, 'variance': 0.014243442565202713, 'avg_norm_sq_drifts': 0.01641174964606762, 'norm_sq_avg_drift': 0.00216830731369555, 'round_steps': 1760}
{'round': 22, 'accuracy': 0.9105504587155964, 'testing_loss': 0.4392963886607295, 'training_loss': 0.056012349332912145, 'variance': 0.015107015147805214, 'avg_norm_sq_drifts': 0.017745433375239372, 'norm_sq_avg_drift': 0.002638418460264802, 'round_steps': 1760}
{'round': 23, 'accuracy': 0.926605504587156, 'testing_loss': 0.3953677584766143, 'training_loss': 0.04956834634912162, 'variance': 0.013824187219142914, 'avg_norm_sq_drifts': 0.016362613067030907, 'norm_sq_avg_drift': 0.002538425615057349, 'round_steps': 1760}
{'round': 24, 'accuracy': 0.930045871559633, 'testing_loss': 0.34859604107551695, 'training_loss': 0.039561386839265196, 'variance': 0.012765632942318916, 'avg_norm_sq_drifts': 0.014920162037014961, 'norm_sq_avg_drift': 0.0021545293275266886, 'round_steps': 1760}
{'round': 25, 'accuracy': 0.9392201834862385, 'testing_loss': 0.31140307508195886, 'training_loss': 0.03824427747880734, 'variance': 0.01327766664326191, 'avg_norm_sq_drifts': 0.015522748231887817, 'norm_sq_avg_drift': 0.002245082054287195, 'round_steps': 1760}
Finished Testing!
