Using device: cuda:0
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 20,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'AdamW',
 'server_opt_lr': 0.0001,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.5389908256880734, 'testing_loss': 0.679427447669003, 'training_loss': 0.44574072576659757, 'variance': 0.01416950486600399, 'avg_norm_sq_drifts': 0.016396526247262955, 'norm_sq_avg_drift': 0.002227021846920252, 'round_steps': 1760}
{'round': 2, 'accuracy': 0.6915137614678899, 'testing_loss': 0.5502439805673897, 'training_loss': 0.2458922089217496, 'variance': 0.015668153762817383, 'avg_norm_sq_drifts': 0.027600860223174095, 'norm_sq_avg_drift': 0.011932706460356712, 'round_steps': 1760}
{'round': 3, 'accuracy': 0.8990825688073395, 'testing_loss': 0.3400704028947843, 'training_loss': 0.16448812918375055, 'variance': 0.01946191117167473, 'avg_norm_sq_drifts': 0.03107248619198799, 'norm_sq_avg_drift': 0.011610575020313263, 'round_steps': 1760}
{'round': 4, 'accuracy': 0.9174311926605505, 'testing_loss': 0.384286137735642, 'training_loss': 0.12226463036828632, 'variance': 0.024958891794085503, 'avg_norm_sq_drifts': 0.02997863106429577, 'norm_sq_avg_drift': 0.005019738804548979, 'round_steps': 1760}
{'round': 5, 'accuracy': 0.9277522935779816, 'testing_loss': 0.3499514583024034, 'training_loss': 0.07520990244239908, 'variance': 0.020344777032732964, 'avg_norm_sq_drifts': 0.02363286353647709, 'norm_sq_avg_drift': 0.0032880865037441254, 'round_steps': 1760}
{'round': 6, 'accuracy': 0.9071100917431193, 'testing_loss': 0.45422645874958006, 'training_loss': 0.07499349926551409, 'variance': 0.020802069455385208, 'avg_norm_sq_drifts': 0.02490641362965107, 'norm_sq_avg_drift': 0.004104343242943287, 'round_steps': 1760}
{'round': 7, 'accuracy': 0.9139908256880734, 'testing_loss': 0.366033842731609, 'training_loss': 0.10591237240820854, 'variance': 0.026647478342056274, 'avg_norm_sq_drifts': 0.030881449580192566, 'norm_sq_avg_drift': 0.004233972169458866, 'round_steps': 1760}
{'round': 8, 'accuracy': 0.9277522935779816, 'testing_loss': 0.26519119476156156, 'training_loss': 0.08456360274379139, 'variance': 0.02299271896481514, 'avg_norm_sq_drifts': 0.026569843292236328, 'norm_sq_avg_drift': 0.0035771233960986137, 'round_steps': 1760}
{'round': 9, 'accuracy': 0.930045871559633, 'testing_loss': 0.2512166902039482, 'training_loss': 0.06740273403887179, 'variance': 0.01816175878047943, 'avg_norm_sq_drifts': 0.02066800929605961, 'norm_sq_avg_drift': 0.0025062509812414646, 'round_steps': 1760}
{'round': 10, 'accuracy': 0.9277522935779816, 'testing_loss': 0.2831102613303084, 'training_loss': 0.0670834826543945, 'variance': 0.017389284446835518, 'avg_norm_sq_drifts': 0.01999223232269287, 'norm_sq_avg_drift': 0.002602947410196066, 'round_steps': 1760}
{'round': 11, 'accuracy': 0.9174311926605505, 'testing_loss': 0.36394624446877577, 'training_loss': 0.048256448557389045, 'variance': 0.015550587326288223, 'avg_norm_sq_drifts': 0.017831001430749893, 'norm_sq_avg_drift': 0.0022804143372923136, 'round_steps': 1760}
{'round': 12, 'accuracy': 0.9243119266055045, 'testing_loss': 0.3838458096584756, 'training_loss': 0.052107916042020655, 'variance': 0.01598912850022316, 'avg_norm_sq_drifts': 0.018643442541360855, 'norm_sq_avg_drift': 0.00265431497246027, 'round_steps': 1760}
{'round': 13, 'accuracy': 0.926605504587156, 'testing_loss': 0.3931065966187466, 'training_loss': 0.03184093198270024, 'variance': 0.011046018451452255, 'avg_norm_sq_drifts': 0.01251140981912613, 'norm_sq_avg_drift': 0.001465391367673874, 'round_steps': 1760}
{'round': 14, 'accuracy': 0.9277522935779816, 'testing_loss': 0.37706099446382857, 'training_loss': 0.03648760200656563, 'variance': 0.013976562768220901, 'avg_norm_sq_drifts': 0.01597963087260723, 'norm_sq_avg_drift': 0.0020030676387250423, 'round_steps': 1760}
{'round': 15, 'accuracy': 0.930045871559633, 'testing_loss': 0.33619587377558563, 'training_loss': 0.030636377807889987, 'variance': 0.012669067829847336, 'avg_norm_sq_drifts': 0.014454777352511883, 'norm_sq_avg_drift': 0.0017857099883258343, 'round_steps': 1760}
{'round': 16, 'accuracy': 0.930045871559633, 'testing_loss': 0.3310306339792762, 'training_loss': 0.03266650088116463, 'variance': 0.01325237937271595, 'avg_norm_sq_drifts': 0.014922484755516052, 'norm_sq_avg_drift': 0.0016701051499694586, 'round_steps': 1760}
{'round': 17, 'accuracy': 0.9288990825688074, 'testing_loss': 0.31977510075469356, 'training_loss': 0.03949140400532914, 'variance': 0.013202283531427383, 'avg_norm_sq_drifts': 0.01496104896068573, 'norm_sq_avg_drift': 0.001758765196427703, 'round_steps': 1760}
{'round': 18, 'accuracy': 0.9277522935779816, 'testing_loss': 0.31098706149424044, 'training_loss': 0.03345132916821224, 'variance': 0.01282800454646349, 'avg_norm_sq_drifts': 0.014536683447659016, 'norm_sq_avg_drift': 0.0017086787847802043, 'round_steps': 1760}
{'round': 19, 'accuracy': 0.9323394495412844, 'testing_loss': 0.29034425601349295, 'training_loss': 0.03645065779103623, 'variance': 0.012822144664824009, 'avg_norm_sq_drifts': 0.01466925349086523, 'norm_sq_avg_drift': 0.0018471090588718653, 'round_steps': 1760}
{'round': 20, 'accuracy': 0.9369266055045872, 'testing_loss': 0.29082499638412346, 'training_loss': 0.02990386609684099, 'variance': 0.010419809259474277, 'avg_norm_sq_drifts': 0.01174513902515173, 'norm_sq_avg_drift': 0.0013253295328468084, 'round_steps': 1760}
{'round': 21, 'accuracy': 0.9357798165137615, 'testing_loss': 0.30203389155640004, 'training_loss': 0.02391992298892133, 'variance': 0.009568951092660427, 'avg_norm_sq_drifts': 0.010653982870280743, 'norm_sq_avg_drift': 0.0010850316612049937, 'round_steps': 1760}
