,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,1,0.31818644931227713,1.1031849681602421,0.318246541903987,1.1029218890203316,0.5475780680449679,0.701509416103363,0.9534733891487122,0.2519639730453491,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,2,0.3171676006113092,1.1014830888337785,0.3197721724979658,1.1012605720656592,0.7110541532707867,0.5939688682556152,0.8792282342910767,0.2852593660354614,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,3,0.3273560876209883,1.0998436796441735,0.3295362082994304,1.0996915011797812,0.6693130827627611,0.5914296507835388,0.8593592047691345,0.2679295539855957,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,4,0.3273560876209883,1.0987511560405865,0.3295362082994304,1.098676033384728,0.5654997227699495,0.708134651184082,0.912571370601654,0.2044367492198944,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,5,0.32786551197147223,1.0982526110359199,0.32963791700569567,1.0982296736479,0.4787428201229777,0.6221389770507812,0.7777228355407715,0.15558384358882904,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,6,0.35476311767702495,1.0979365718588172,0.35262408462164363,1.097963342150602,0.6037988174050115,0.5436185598373413,0.7833284139633179,0.23970982432365417,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,7,0.3544574630667346,1.0978688669088126,0.3522172497965826,1.0979093576078982,0.582945105687715,0.6071559190750122,0.7842181921005249,0.17706230282783508,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,8,0.3544574630667346,1.0978653887567622,0.3522172497965826,1.097902784413492,0.802456941133365,0.4832134544849396,0.67381352186203,0.19060006737709045,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,9,0.3544574630667346,1.0977036651791647,0.3522172497965826,1.0977751340586737,0.7363812316898257,0.4534561336040497,0.7228586077690125,0.26940247416496277,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,10,0.3544574630667346,1.0975665187291626,0.3522172497965826,1.097670429503656,0.4897806957510766,0.5150870680809021,0.6326310038566589,0.11754392087459564,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,11,0.3544574630667346,1.0976128656881654,0.3522172497965826,1.097701139717785,0.5892891292886343,0.4773848056793213,0.6543962955474854,0.17701148986816406,50
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,12,0.3544574630667346,1.0976209678393414,0.3522172497965826,1.097708612559189,0.583210424761055,0.5401442646980286,0.6482016444206238,0.10805736482143402,50
12,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,13,0.3544574630667346,1.0975955280717447,0.3522172497965826,1.0976964230455937,0.6389817165010608,0.462613582611084,0.5298222303390503,0.0672086551785469,50
13,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,14,0.3544574630667346,1.0975234277285302,0.3522172497965826,1.0976462181842452,0.5934798238384538,0.5049153566360474,0.6095559000968933,0.10464051365852356,50
14,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,15,0.3544574630667346,1.0975127715644744,0.3522172497965826,1.0976371539133754,0.6497411275524646,0.48125380277633667,0.5563751459121704,0.07512134313583374,50
15,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,16,0.3544574630667346,1.0974915039277018,0.3522172497965826,1.0976418967747514,0.6369535143775865,0.4450060725212097,0.5304475426673889,0.0854414626955986,50
16,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,17,0.3544574630667346,1.097534431513481,0.3522172497965826,1.0977255481350605,0.5757144127823413,0.44315022230148315,0.5327398180961609,0.08958958089351654,50
17,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,18,0.3544574630667346,1.0976110581178051,0.3522172497965826,1.0978309072257058,0.49407331854221403,0.5407465696334839,0.5797494649887085,0.0390029102563858,50
18,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,19,0.3544574630667346,1.0976096584044925,0.3522172497965826,1.0978325927422432,0.476941275043413,0.47196316719055176,0.5332659482955933,0.0613027885556221,50
19,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,20,0.3544574630667346,1.0975433988306904,0.3522172497965826,1.097764167677008,0.8384537288099526,0.4560357928276062,0.5508537292480469,0.09481792151927948,50
20,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,21,0.3544574630667346,1.0974967484563565,0.3522172497965826,1.097696990671926,0.6665612980155274,0.39118507504463196,0.4493272006511688,0.05814212188124657,50
21,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,22,0.3544574630667346,1.0974598986983979,0.3522172497965826,1.0976408222421967,0.6219941048622132,0.5465921759605408,0.5781501531600952,0.03155798465013504,50
22,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,23,0.3544574630667346,1.0974509002915611,0.3522172497965826,1.0976169053086233,0.553127333927201,0.5177925229072571,0.5422250032424927,0.024432500824332237,50
23,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,24,0.3544574630667346,1.0974467744065575,0.3522172497965826,1.0976087707538156,0.48589403575798495,0.528053879737854,0.5614000558853149,0.03334617614746094,50
24,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,25,0.3544574630667346,1.0974402878472935,0.3522172497965826,1.0975992478812198,0.6110740925390272,0.6001321077346802,0.6296132206916809,0.029481101781129837,50
25,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,26,0.3544574630667346,1.0974164495841214,0.3522172497965826,1.09759645048829,0.5382151012616231,0.471032053232193,0.5428971648216248,0.07186511904001236,50
26,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,27,0.3544574630667346,1.0974208596477493,0.3522172497965826,1.0976198952405603,0.5238130604396574,0.44131335616111755,0.5287546515464783,0.08744129538536072,50
27,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,0.1,28,0.3544574630667346,1.0975725083401655,0.3522172497965826,1.0977924594654118,0.5135078849364072,0.5016268491744995,0.5845746994018555,0.08294788002967834,50
