,Unnamed: 0,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.7272714095957139,0.6917187200652227,0.0006713581387884,0.0010678347898647,0.0003964766510762,5
1,1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,2,0.3161764705882353,0.0,0.7018810417137894,0.6533575660652584,0.0006916441489011,0.0008376257610507,0.0001459815975977,5
2,2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6758195991609611,0.6571757740444607,0.0004133184556849,0.0005035081994719,9.018973651109265e-05,5
3,3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6531585525063908,0.6213954773214129,0.0006001431029289,0.0006589631084352,5.882002733414993e-05,5
4,4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6405837115119485,0.6775895165072547,0.0003900094015989,0.0004328625800553,4.285318573238328e-05,5
5,5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6291666264627495,0.5481528447733985,0.0001796002179617,0.0003711966564878,0.0001915964385261,5
6,6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6252935651470634,0.7012472768624625,0.0003552820708137,0.0004571595636662,0.0001018774855765,5
7,7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6243787092321059,0.4943589064810011,0.0003909625811502,0.0004659112601075,7.494866440538317e-05,5
8,8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6260874323985156,0.6458406441741519,0.0006614953163079,0.0007234007935039,6.190545536810532e-05,5
9,9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6275070864780277,0.6828298191229503,0.0004849653923884,0.0005806631525047,9.56977455643937e-05,5
10,10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6271000755768196,0.6955369211733341,0.0005253104609437,0.0006538500310853,0.0001285395701415,5
11,11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6260374720190086,0.5994591552764177,0.0005788721027784,0.0006087422952987,2.9870176149415784e-05,5
12,12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6249246538854113,0.5902274951338768,0.0006798658287152,0.0006933741969987,1.3508386473404244e-05,5
13,13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6243552320143756,0.5324023984372616,0.0002918352838605,0.000299732084386,7.89680598245468e-06,5
14,14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.624199497349122,0.5145174071192742,0.0003838000702671,0.0004083268286194,2.452675471431576e-05,5
15,15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6240912056436726,0.5404511667788029,0.0006428527412936,0.0006498368456959,6.984100764384493e-06,5
16,16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.623695303996404,0.658727103844285,0.0005002334364689,0.0005680487374775,6.781530100852251e-05,5
17,17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.6237498813984441,0.6967999145388604,0.0006397645338438,0.0007506049005314,0.0001108403812395,5
18,18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.6248094556378383,0.5921134546399116,0.0006234824541024,0.0006467273924499,2.3244940166478045e-05,5
19,19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6284786936114816,0.6721786230802536,0.0005781346117146,0.0006601056666113,8.197104762075469e-05,5
20,20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,21,0.6838235294117647,0.8122270742358079,0.6390673973981071,0.7332463644444942,0.0004920101491734,0.0007456837920472,0.0002536736428737,5
21,21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,22,0.6838235294117647,0.8122270742358079,0.6550342405543608,0.6530507229268551,0.0004348318616393,0.0004454157897271,1.058391990227392e-05,5
22,22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,23,0.6838235294117647,0.8122270742358079,0.6791341667081795,0.6864493414759636,0.0003519263409543,0.0004068959096912,5.496957601280883e-05,5
23,23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,24,0.3161764705882353,0.0,0.7006957601098454,0.6325108475983143,0.0005425603012554,0.0005974091473035,5.4848867875989527e-05,5
24,24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,25,0.3161764705882353,0.0,0.7178766517078176,0.6388272538781166,0.0007109511643648,0.0007491877768188,3.823662700597197e-05,5
25,25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,26,0.3161764705882353,0.0,0.71126400606305,0.6732968762516975,0.0002314299927093,0.0008648933144286,0.0006334633217193,5
26,26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,27,0.6764705882352942,0.7843137254901961,0.6909476775749057,0.6719425097107887,0.000259823835222,0.000577908125706,0.0003180842904839,5
27,27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.6600502063246334,0.6250792734324933,0.0002581682638265,0.0008100044215098,0.0005518361576832,5
28,28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,29,0.6838235294117647,0.8122270742358079,0.6423814764209822,0.6724665582180023,0.0003884558682329,0.0004258012340869,3.734538040589541e-05,5
29,29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,30,0.6838235294117647,0.8122270742358079,0.627196889297635,0.5528137445449829,9.628888801671565e-05,0.0003527864464558,0.0002564975584391,5
