,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.624088047766218,0.4255865958562741,0.01454777829349041,0.022463466972112656,0.007915688678622246,150
1,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.9202146335121464,0.4006174835028748,0.01714235544204712,0.021417833864688873,0.0042754788883030415,150
2,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6448294777496189,0.39461738053274653,0.009999267756938934,0.015194661915302277,0.005195393692702055,150
3,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,4,0.6666666666666666,0.7813504823151125,0.6232861771303064,0.3735652602644016,0.011532372795045376,0.0140359653159976,0.002503592288121581,150
4,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,5,0.7352941176470589,0.8235294117647058,0.5301665377383139,0.35483462903710705,0.012906137853860855,0.01676185056567192,0.0038557127118110657,150
5,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,6,0.7401960784313726,0.8359133126934984,0.6108886279604014,0.3272002395770202,0.014892011880874634,0.019211463630199432,0.004319452214986086,150
6,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,7,0.7622549019607843,0.8496124031007752,0.585858987096478,0.30169146888578935,0.019913598895072937,0.024609118700027466,0.004695519804954529,150
7,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,8,0.8284313725490197,0.8780487804878049,0.3949096326296236,0.28195541905239224,0.02504643425345421,0.0312715582549572,0.006225124467164278,150
8,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,9,0.803921568627451,0.84375,0.45640380088897314,0.2621146356770769,0.03376365080475807,0.03983273729681969,0.006069087889045477,150
9,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,10,0.8504901960784313,0.8876611418047882,0.4059920669624619,0.22185709693174188,0.03834393993020058,0.04376627877354622,0.005422340240329504,150
10,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,11,0.8406862745098039,0.8865619546247818,0.4447443691977099,0.20378140691597943,0.04567401111125946,0.05183130502700806,0.006157295778393745,150
11,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,12,0.8480392156862745,0.8934707903780069,0.490256555780184,0.17987397744134068,0.05010054633021355,0.05675292760133743,0.006652382668107748,150
12,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,13,0.8431372549019608,0.8888888888888888,0.4898924598077714,0.15098555718633966,0.0482136532664299,0.05453668162226677,0.006323027890175581,150
13,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,14,0.8431372549019608,0.8873239436619719,0.5163345995048682,0.13018955898401327,0.050381019711494446,0.05677415803074837,0.006393136456608772,150
14,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,15,0.8529411764705882,0.8947368421052632,0.5356380968975524,0.11303619374257204,0.0563620999455452,0.06324634701013565,0.006884247995913029,150
15,roberta-base,glue,mrpc,2,10,10,1.0,8,3,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,16,0.8602941176470589,0.8998242530755711,0.49284466923050146,0.09539261193146618,0.05466298758983612,0.06110503897070885,0.006442050915211439,150
