,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.6635963367480858,0.7538409471511841,7.80698155722348e-06,1.2642958608921617e-05,4.835977051698137e-06
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,2,0.6838235294117647,0.8122270742358079,0.6338808478093615,0.6643085334036085,8.509833605785388e-06,8.884083399607334e-06,3.742501917258778e-07
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,3,0.6838235294117647,0.8122270742358079,0.6104835049778807,0.6371642582946353,6.5444642132206354e-06,6.6290363065490965e-06,8.457207911760634e-08
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,4,0.6838235294117647,0.8122270742358079,0.603125147375406,0.6239924629529318,1.4350865967571735e-05,1.4633093996962998e-05,2.822282283432287e-07
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,5,0.6764705882352942,0.7917981072555205,0.6853592313972174,0.7831297427415848,1.964232069440186e-05,2.745906385825947e-05,7.816743163857609e-06
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,6,0.6838235294117647,0.8122270742358079,0.6456647304927602,0.6722858455446031,2.481518549757311e-06,7.224107775982702e-06,4.742589226225391e-06
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,7,0.6887254901960784,0.8140556368960469,0.65182205508737,0.6896806683805254,6.363115517160622e-06,6.895291789987823e-06,5.321762159837817e-07
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,8,0.6838235294117647,0.8122270742358079,0.6241097976179684,0.615560316377216,6.598136678803712e-06,1.0150365596928168e-05,3.552228918124456e-06
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,9,0.6887254901960784,0.8140556368960469,0.6211221849217134,0.6585466504096985,8.80264360603178e-06,8.970973794930615e-06,1.683297909949033e-07
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,10,0.6985294117647058,0.8183161004431314,0.6151308364727918,0.6605262107319303,6.689269866910763e-06,6.8442582232819404e-06,1.5498855532314337e-07
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,11,0.7132352941176471,0.8240601503759398,0.6013114814664803,0.6505921795964241,1.3851604308001697e-05,1.4608636774937622e-05,7.570323532490875e-07
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,12,0.7009803921568627,0.8195266272189349,0.5709871199785495,0.6114958435297012,8.943287866713945e-06,9.522067557554692e-06,5.787794066236529e-07
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,13,0.7009803921568627,0.8195266272189349,0.5456182424928627,0.5730891104787588,2.2200754756340757e-05,2.2716181774740107e-05,5.154269047125126e-07
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,14,0.6911764705882353,0.8157894736842105,0.8459425434177997,0.4683610212057829,2.9862172596040182e-05,3.645279866759665e-05,6.59062561680912e-06
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.0001,15,0.7181372549019608,0.8265460030165912,0.6321705100583095,0.5519910119473934,2.865646456484683e-05,3.329794344608672e-05,4.641478881239891e-06
