,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,1,0.3273560876209883,1.102500861460539,0.3295362082994304,1.1020143841028796,0.5324642995093017,0.07391127198934555,0.092032290995121,0.018121017143130302,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,2,0.44900662251655626,1.1213322029234243,0.46958909682668837,1.1211034789911802,0.6780817535873503,0.05584154650568962,0.06721290200948715,0.011371356435120106,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,3,0.43932755985736116,1.1354671993096281,0.42982099267697316,1.1348124524264727,0.6326213715374469,0.05541079491376877,0.0594249963760376,0.004014201462268829,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,4,0.5319409067753439,1.0988384806342308,0.5291903986981286,1.0966730238559093,0.5131659332625568,0.09009473770856857,0.12337400764226913,0.03327926993370056,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,5,0.6023433520122262,1.0309108846927912,0.6032343368592351,1.0272523657978794,0.35112350636580963,0.18356652557849884,0.2371322214603424,0.05356569215655327,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,6,0.6224146714212939,0.9338103786851686,0.620626525630594,0.929933601588714,0.5143965994082391,0.15553048253059387,0.22391080856323242,0.06838033348321915,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,7,0.6338257768721345,0.8340195640860871,0.633340113913751,0.8288553484917851,0.39747643635980784,0.2535010576248169,0.3139110803604126,0.060410015285015106,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,8,0.6421803362200713,0.7369620761034833,0.6402563059397884,0.7315309303164773,0.5628570165317506,0.37993723154067993,0.46268510818481445,0.08274788409471512,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,9,0.6742740703005604,0.6569572420701226,0.6668022782750204,0.6540918429272266,0.44511027539707715,0.3292427361011505,0.39635583758354187,0.06711310148239136,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,10,0.7496688741721854,0.6024843676724663,0.7379983726606998,0.6017355540474806,0.31666530845128,0.34005680680274963,0.39764460921287537,0.057587794959545135,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,11,0.7972491085073866,0.5376040290831645,0.7947518307567127,0.5319658616046967,0.3170821649176069,0.5280027389526367,0.6150747537612915,0.08707201480865479,50
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,12,0.8190524707080998,0.4855844401788595,0.8250610252237591,0.4749097029812652,0.3493919306029566,0.43727171421051025,0.49435821175575256,0.057086508721113205,50
12,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,13,0.8297503820682629,0.4564019209829014,0.8319772172497966,0.4444702218420822,0.34983436826616526,0.6584497690200806,0.7428025603294373,0.08435279130935669,50
13,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,14,0.8268976057055527,0.4542167762472023,0.8270951993490643,0.44875621873555,0.29484423429984596,0.6077544689178467,0.6832041144371033,0.075449638068676,50
14,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,15,0.8230259806418747,0.4629537835595757,0.8228234336859235,0.46022132648635533,0.313372224887833,0.6170377731323242,0.6910547614097595,0.0740169957280159,50
15,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,16,0.8275089149261334,0.45644700807119254,0.8279088689991864,0.4515410070864528,0.36985100512951613,0.7837268114089966,0.8762852549552917,0.09255843609571457,50
16,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,17,0.8347427407030056,0.44384908747040314,0.834926769731489,0.4386372493823992,0.3018977550212294,0.5073291063308716,0.5685696005821228,0.06124047189950943,50
17,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,18,0.8426897605705552,0.42043877577450134,0.8475386493083807,0.4111641211173004,0.23824570656102156,0.5360963344573975,0.5979045033454895,0.061808157712221146,50
18,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,19,0.8517575140091697,0.3953186243122782,0.8623881204231082,0.37736604393189327,0.23445728337788024,0.5101867914199829,0.5720415115356445,0.06185471639037132,50
19,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,20,0.8451349974528782,0.40239800712565826,0.8602522375915378,0.37893871667334905,0.39933513709343965,0.6724456548690796,0.7548736929893494,0.08242804557085037,50
20,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,21,0.8399388690779419,0.418945970212602,0.8536411716842962,0.391315277032342,0.2928444167571142,0.5300450325012207,0.5989493727684021,0.06890431046485901,50
21,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,22,0.8342333163525216,0.4293021409701747,0.850793327908869,0.4003747241682183,0.28749467715388166,0.6424151062965393,0.715060830116272,0.07264573872089386,50
22,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,23,0.8425878757004585,0.4112727663038752,0.8562855980471928,0.38439943924079445,0.22748867700085973,0.3997761309146881,0.4471932351589203,0.04741710424423218,50
23,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.0001,SGD,0.01,24,0.856444218033622,0.37924818921084313,0.8673718470301057,0.3571270341803816,0.22648170345532712,0.4621813893318176,0.5165534019470215,0.054372020065784454,50
