,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6270383859381956,0.4972625351846219,0.008673194795846939,0.013362052850425243,0.004688858520239592,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.8616124574168056,0.37089282165205806,0.07998590916395187,0.10193584114313126,0.021949930116534233,800
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,3,0.696078431372549,0.8171091445427728,0.8047196941048491,0.33395523355780166,0.0471218079328537,0.07341212034225464,0.02629031054675579,500
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,4,0.7892156862745098,0.8552188552188552,0.5880726548276988,0.2649112995345412,0.05215824767947197,0.07010334730148315,0.017945099622011185,350
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,5,0.8259803921568627,0.8697247706422019,0.5305310407763019,0.2574810607679453,0.07776094973087311,0.09481915831565857,0.01705821044743061,350
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,6,0.8161764705882353,0.8653500897666068,0.40842372423731815,0.2305215713060655,0.10443597286939621,0.12459232658147812,0.02015635184943676,300
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,7,0.821078431372549,0.8684684684684685,0.41312871515458705,0.17084704881007606,0.15754267573356628,0.181770458817482,0.02422778494656086,350
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,8,0.8382352941176471,0.8829787234042553,0.6622906624979805,0.10869176244001064,0.20996221899986267,0.2403358668088913,0.030373647809028625,500
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,9,0.8431372549019608,0.8918918918918919,0.9499444747924309,0.07476812805962439,0.19749535620212555,0.22300036251544952,0.025505006313323975,500
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,10,0.8112745098039216,0.8727272727272727,1.0244630968217296,0.0712920709748669,0.18578557670116425,0.20776863396167755,0.021983053535223007,400
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,11,0.8382352941176471,0.8888888888888888,0.7978106700437482,0.03593633496095405,0.21328526735305786,0.23964586853981018,0.02636059746146202,650
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,12,0.8504901960784313,0.8957264957264958,0.7350005709523947,0.028824061306226573,0.14866480231285095,0.16749943792819977,0.018834631890058517,500
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,13,0.8480392156862745,0.8945578231292517,0.8693072805699023,0.019034156755347788,0.1427549123764038,0.1596621721982956,0.016907259821891785,600
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,14,0.8480392156862745,0.8945578231292517,0.8995223243882184,0.017268460130608024,0.10793659090995789,0.12040849775075912,0.01247190497815609,450
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,15,0.8504901960784313,0.8967851099830795,0.9492594608574805,0.007439109103558673,0.09854522347450256,0.11009329557418823,0.011548073962330818,900
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,16,0.8504901960784313,0.8950086058519794,0.894703852542008,0.015428188927534853,0.0556865856051445,0.061784423887729645,0.006097837351262569,200
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,18,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,17,0.8578431372549019,0.9003436426116839,0.9225335770295393,0.0047571135084983505,0.0827815979719162,0.0925193652510643,0.009737767279148102,900
