,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_weight_decay,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,1,0.6838235294117647,0.8122270742358079,0.6863803033735237,0.47628822998942477,2.4010910987854004,2.9734370708465576,0.5723459124565125
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,2,0.6838235294117647,0.8122270742358079,0.6524434896076426,0.39887065363986446,2.8023979663848877,3.18808650970459,0.38568857312202454
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,3,0.6838235294117647,0.8122270742358079,0.6355272069865582,0.6793562769915701,0.6249942779541016,0.7876938581466675,0.16269958019256592
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,4,0.6838235294117647,0.8122270742358079,0.628817337400773,0.47408283001018897,0.564717710018158,0.6278471350669861,0.06312943994998932
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,5,0.6838235294117647,0.8122270742358079,0.6393740492708543,0.765230136240522,0.5728713870048523,0.7643027901649475,0.19143140316009521
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,6,0.6838235294117647,0.8122270742358079,0.6296654594879524,0.4774249696224514,0.3378652334213257,0.49488353729248047,0.15701830387115479
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,7,0.6838235294117647,0.8122270742358079,0.6307202285411311,0.7007268643627563,0.4777218699455261,0.5799304246902466,0.10220853984355927
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,8,0.6838235294117647,0.8122270742358079,0.6253195095295999,0.31088572551185883,0.22037610411643982,0.2886926531791687,0.06831654906272888
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,9,0.6838235294117647,0.8122270742358079,0.6234586583633049,0.4796668269464539,0.3099779784679413,0.33596736192703247,0.025989390909671783
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.1,10,0.6838235294117647,0.8122270742358079,0.6244579442575866,0.6487282408815291,0.44202643632888794,0.5041683316230774,0.06214188039302826
