,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,1,0.3161764705882353,0.0,0.7026151103131911,0.6844178674221038,0.00037301325937733054,0.000616588571574539,0.0002435753121972084,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,2,0.6838235294117647,0.8122270742358079,0.6518152414583692,0.647401063144207,0.0003670636797323823,0.000511443882714957,0.00014438018843065947,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,3,0.6838235294117647,0.8122270742358079,0.6258460639738569,0.6047677311897278,0.00039193275733850896,0.00043007844942621887,3.814568117377348e-05,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,4,0.6838235294117647,0.8122270742358079,0.630227561674866,0.5860483988523483,0.00040213330066762865,0.0004038503975607455,1.7171007584693143e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,5,0.6838235294117647,0.8122270742358079,0.6489232013038561,0.6039840517342091,0.0004416271694935858,0.0004713522212114185,2.972505535581149e-05,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,6,0.6838235294117647,0.8122270742358079,0.6620885335347232,0.6145435281991958,0.00045701354974880815,0.0005243461346253753,6.733258487656713e-05,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,7,0.6838235294117647,0.8122270742358079,0.6589211269336588,0.6368421121239661,0.0007288052001968026,0.0008675646968185902,0.00013875948206987232,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,8,0.6838235294117647,0.8122270742358079,0.6443934125058791,0.6262453491091728,0.0004621865809895098,0.000540378678124398,7.819209713488817e-05,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,9,0.6838235294117647,0.8122270742358079,0.6292187372843424,0.6190853921175004,0.0005120144924148917,0.0005766352987848222,6.46208063699305e-05,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,10,0.6838235294117647,0.8122270742358079,0.6233157287625706,0.5985911188423634,0.0003722208784893155,0.00039118286804296076,1.8961984096677043e-05,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,11,0.6838235294117647,0.8122270742358079,0.628300726998086,0.5906673842668534,0.0003410142962820828,0.0003436507540754974,2.6364525638200575e-06,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,12,0.6838235294117647,0.8122270742358079,0.6391659577687582,0.595918753683567,0.0003225653781555593,0.0003278712392784655,5.3058552111906465e-06,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,13,0.6838235294117647,0.8122270742358079,0.648132764825634,0.6025384999513625,0.0003240996156819165,0.0003439455758780241,1.9845969291054644e-05,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,14,0.6838235294117647,0.8122270742358079,0.6497623277645485,0.6117214089632034,0.00032104316051118076,0.00035350254620425403,3.245938933105208e-05,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,15,0.6838235294117647,0.8122270742358079,0.6437103537952199,0.6120954284071922,0.0003235628828406334,0.0003574206493794918,3.3857751986943185e-05,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,16,0.6838235294117647,0.8122270742358079,0.6335343064046374,0.6044862315058708,0.000334966869559139,0.0003636603942140937,2.8693517378997058e-05,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,1.0,SGD,0.0001,17,0.6838235294117647,0.8122270742358079,0.624836288246454,0.5961569271683692,0.00033523538149893284,0.00035064027179032564,1.5404890291392803e-05,50
