,Unnamed: 0,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_weight_decay,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.658058713464176,0.6917187200652227,0.0006713581387884,0.0010678347898647,0.0003964766510762,5
1,1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6284813571210001,0.5983238716920216,0.0008419303339906,0.0008752767462283,3.33464122377336e-05,5
2,2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6170187206829295,0.5787767708301544,0.0008584705065004,0.000910077127628,5.160660657566041e-05,5
3,3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.7325958489787345,0.5340710921419991,0.0012183510698378,0.0013210052857175,0.0001026542231556,5
4,4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6416632696694019,0.7043620003594292,0.0011464533163234,0.0022688072640448,0.0011223539477214,5
5,5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6320309007869047,0.5297700610425737,0.0002955050440505,0.0008155752439051,0.0005200701998546,5
6,6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6259642558939317,0.6482340183522965,0.0005456948420032,0.0005867703584954,4.107551649212837e-05,5
7,7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,8,0.6911764705882353,0.8152492668621701,0.5935675630382463,0.4822980834378136,0.0007351615931838,0.0012380257248878,0.0005028641317039,5
8,8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,9,0.7132352941176471,0.8245877061469266,0.5905012272152246,0.4952899088462194,0.0013947448460385,0.0014728085370734,7.806372013874352e-05,5
9,9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,10,0.7083333333333334,0.8177641653905053,0.5773478530201257,0.5871242112583585,0.0009772287448868,0.0010856904555112,0.0001084617324522,5
10,10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,11,0.7009803921568627,0.758893280632411,0.6585242204806384,0.4695541117340326,0.0010502610821276,0.0012330417521297,0.0001827807282097,5
11,11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,12,0.7328431372549019,0.8304821150855366,0.6395664216548789,0.4470815367996693,0.0019967197440564,0.0024707694537937,0.0004740495933219,5
12,12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,13,0.6887254901960784,0.8140556368960469,0.9621434019257624,0.2815188408829271,0.0020190610084682,0.0021383492276072,0.0001192881609313,5
13,13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,14,0.75,0.843558282208589,0.519359656700901,0.3687371561303735,0.0028649293817579,0.0036633857525885,0.0007984563126228,5
14,14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,15,0.7034313725490197,0.8207407407407408,0.5512764851252238,0.2985524553339928,0.0013219350948929,0.0016202096594497,0.0002982745936606,5
15,15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,16,0.696078431372549,0.8171091445427728,0.6420852842868543,0.2546313485596329,0.001361506874673,0.0014366752002388,7.516831101384014e-05,5
16,16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.01,SGD,0.001,17,0.7965686274509803,0.8654781199351702,0.4751061323811026,0.4584187009837478,0.0011841955129057,0.0015125630889087,0.0003283675177954,5
