,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,1,0.4729241877256318,1.3367158898285456,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,2,0.5270758122743683,0.9702167706830161,1.550903599569574,2.0467996364459395e-07,1.5518897271249443e-05,1.531421730760485e-05,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,3,0.4729241877256318,0.960325723034995,1.0217567467834892,1.0732674127211794e-06,4.579477717925329e-06,3.5062103052041493e-06,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,4,0.5270758122743683,0.6946941375732422,0.9947070608051811,1.4976021702750586e-06,9.469830729358364e-06,7.972228559083305e-06,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,5,0.4729241877256318,1.3341178153242383,0.7200868126822682,1.641146013753314e-06,2.0478225906117586e-06,4.066765484367352e-07,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,6,0.5270758122743683,0.8433903464249202,1.4557781581766904,1.6456579032819718e-07,1.3113729437463917e-05,1.294916364713572e-05,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,7,0.4729241877256318,0.698151775768825,0.9122978745437249,1.7369011402479373e-06,5.392776984081138e-06,3.6558758438332006e-06,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,8,0.5270758122743683,0.692356242452349,0.7019485851613487,4.4637036467065627e-07,5.50394020137901e-07,1.0402366257267204e-07,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,9,0.5270758122743683,0.6919340303965977,0.6898001068975868,9.273347814087174e-07,9.31290912831173e-07,3.9561371956153835e-09,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,10,0.5270758122743683,0.6915965233530317,0.6926029778108365,3.5825053146254504e-07,3.6099061162531143e-07,2.74007883049876e-09,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,11,0.5270758122743683,0.6920055781091963,0.6934772505992797,7.563193094028975e-07,7.601980769322836e-07,3.878772414367404e-09,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,12,0.5270758122743683,0.6913466623851231,0.6907959112306921,4.313692727464513e-07,4.699818134668021e-07,3.8612551378491844e-08,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,13,0.5270758122743683,0.6929149406296866,0.6805789798498154,2.0049959914558713e-08,9.918735344172092e-08,7.91373935271622e-08,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,14,0.5270758122743683,0.6925311258860997,0.7135943197622531,8.889484206520137e-07,1.1850099781440804e-06,2.960615290703572e-07,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,15,0.5270758122743683,0.6915933387620109,0.6915828716009855,1.0987875498358335e-08,1.6645815037463763e-07,1.554702748762793e-07,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.001,SGD,1e-05,16,0.4729241877256318,0.6938194291932243,0.7065706474025075,7.894800546637271e-07,1.064163939190621e-06,2.7468388452689396e-07,41
