,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,1,0.4908256880733945,0.705612155822439,0.6131550418382341,0.0010036120656877756,0.0010158477816730738,1.2235770554980263e-05,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,2,0.5091743119266054,0.8161922597557033,0.31852489611402357,0.026768187060952187,0.04160070791840553,0.014832520857453346,5984
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,3,0.8922018348623854,0.316768515752543,0.28981560302093945,0.012968096882104874,0.03397294878959656,0.021004851907491684,1408
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,4,0.908256880733945,0.4629168634050859,0.1449690855343457,0.02834431827068329,0.039990395307540894,0.01164607796818018,2112
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,5,0.8864678899082569,0.6649872572649881,0.062220075315753874,0.03962553292512894,0.04662397876381874,0.006998447235673666,4136
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,6,0.7993119266055045,0.9666261437291348,0.07636888085638852,0.028421573340892792,0.03425286337733269,0.005831290036439896,2288
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,7,0.908256880733945,0.3106516980258492,0.1187275113567772,0.037544135004282,0.04610079154372215,0.00855665747076273,2200
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,8,0.9174311926605505,0.3478043696789286,0.07288735012925941,0.051137689501047134,0.06109398230910301,0.009956293739378452,3608
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,9,0.911697247706422,0.5271884106007855,0.050882717699407956,0.042734939604997635,0.04992977902293205,0.00719483895227313,3960
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,10,0.908256880733945,0.6028259304360398,0.06724742489209126,0.03228827938437462,0.038184136152267456,0.005895855370908976,2728
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,11,0.8405963302752294,1.033586664198425,0.05149117033220452,0.035974688827991486,0.041861142963171005,0.00588645227253437,3344
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,12,0.9048165137614679,0.4296785094037317,0.07001623701505139,0.03222912177443504,0.038870155811309814,0.006641035433858633,2640
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,13,0.9151376146788991,0.38983702164050804,0.02132505520109024,0.03347380459308624,0.03841010481119156,0.0049362992867827415,5984
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,14,0.9105504587155964,0.3721925263907739,0.0720126611802139,0.016908617690205574,0.02002785913646221,0.0031192407477647066,1496
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,15,0.9231651376146789,0.3743250134198498,0.03397756652413055,0.03411666303873062,0.04043973237276077,0.006323068402707577,4224
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,16,0.9220183486238532,0.41992786985726166,0.04585809969568172,0.024458546191453934,0.028104254975914955,0.003645709017291665,2728
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,17,0.9231651376146789,0.4377560477834877,0.0551090482078659,0.026953617110848427,0.03146212920546532,0.004508512560278177,2640
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,18,0.926605504587156,0.42164583610650913,0.04187118350978172,0.03045015037059784,0.035271551460027695,0.004821401089429855,3344
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,19,0.930045871559633,0.34830974801661796,0.05641097450895385,0.027246616780757904,0.03167654946446419,0.004429931752383709,2640
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,20,0.9311926605504587,0.3279658823421331,0.02965618469072298,0.03096456080675125,0.03540569171309471,0.004441130440682173,4576
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,21,0.9323394495412844,0.33284058431879676,0.03769021725582124,0.020657788962125778,0.02369721047580242,0.0030394219793379307,2728
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,22,0.9231651376146789,0.4055580104969697,0.03448488440146612,0.02273768000304699,0.02640811912715435,0.00367043842561543,3080
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,23,0.9311926605504587,0.3624809995778353,0.02536712755850649,0.02237495593726635,0.026352280750870705,0.0039773243479430676,3608
