,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,1,0.0,0.7516461092097159,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,2,0.0,0.7515711233816074,0.7807192553173412,9.546138244331814e-07,2.4805194698274136e-06,1.5259056453942321e-06,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,3,0.0,0.7515091268160871,0.6701994061470031,1.2053840237058466e-06,1.2310830470596557e-06,2.5699049999161616e-08,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,4,0.0,0.7513953893239261,0.8128920202905482,3.557306627044454e-08,2.7306971333018737e-06,2.695124067031429e-06,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,5,0.0,0.7512914128885925,0.687975042516535,5.202663828640652e-07,5.243080067884875e-07,4.04159594680209e-09,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,6,0.0,0.7511552399351397,0.7774519790302624,1.1045012797694653e-06,2.5606875624362146e-06,1.4561862826667493e-06,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,7,0.0,0.7509880939512762,0.7835766662250865,6.523514457512647e-07,2.252977765238029e-06,1.6006263194867643e-06,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,8,0.0,0.7508307449690258,0.6958922678774053,1.3390387039180496e-06,1.3838766790286172e-06,4.483795024157189e-08,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,9,0.0,0.7506659717960212,0.7343059301376342,1.5805021575943101e-06,2.0136926650593523e-06,4.331904506216233e-07,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,10,0.0,0.7504626485227629,0.8068516308611089,7.258176992763765e-08,2.5188439849443967e-06,2.446262215016759e-06,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,11,0.0,0.750220209132624,0.8183684484525161,3.865329745167401e-08,2.9034181352471933e-06,2.8647648377955193e-06,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,12,0.0,0.7499587676907313,0.7806328063661402,7.719802397332387e-07,2.28750513997511e-06,1.5155249002418714e-06,22
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,13,0.0,0.7496967242874262,0.7410815444859591,1.5877053556323517e-06,2.179045623051934e-06,5.913403242630011e-07,22
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.01,SGD,1e-05,14,0.0,0.7494439418989284,0.7193556579676542,1.8836099116015248e-06,2.125836317645735e-06,2.422263776225009e-07,22
