,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,1,0.31818644931227713,1.1032875371154187,0.318246541903987,1.102994309294214,1.0519771268367768,0.0005182440509088337,0.0005827536224387586,6.450957880588248e-05,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,2,0.30677534386143657,1.102355076611868,0.31082180634662326,1.1020630204260495,1.0790198228359222,0.0003045137273147702,0.00043298053788021207,0.00012846681056544185,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,3,0.32633723892002037,1.1015073844059367,0.3287225386493084,1.1012294639699143,1.0590703825950623,0.00046186766121536493,0.00048066541785374284,1.879774390545208e-05,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,4,0.3272542027508915,1.1007753319145706,0.3295362082994304,1.1005244247306158,1.0478345230817794,0.000535902741830796,0.0005648116348311305,2.8908889362355694e-05,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,5,0.3273560876209883,1.1003752579607415,0.3295362082994304,1.1001270732033825,1.026672819137573,0.0006061565945856273,0.0006367172463797033,3.0560666345991194e-05,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,6,0.3273560876209883,1.1001546571384917,0.3295362082994304,1.0999082299729883,1.0464299635887149,0.000470237631816417,0.000541362096555531,7.112447929102927e-05,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,7,0.3273560876209883,1.100139037806908,0.3295362082994304,1.0998795982101663,1.0354350899457931,0.0005260711768642068,0.0005641864845529199,3.811528586084023e-05,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,8,0.3273560876209883,1.1001473152258576,0.3295362082994304,1.099874353001426,1.0643714381456377,0.0003378387773409486,0.00034519212204031646,7.353336968662916e-06,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,9,0.3273560876209883,1.099843504667865,0.3295362082994304,1.0995823380615384,1.071372059941292,0.0002892104384955019,0.00044263526797294617,0.0001534248294774443,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,10,0.3272542027508915,1.0995729906148997,0.3295362082994304,1.0993279491235222,1.0366957039833067,0.0006015438120812178,0.0006701183156110346,6.857447442598641e-05,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,1e-05,SGD,0.0001,11,0.3273560876209883,1.0994107596934473,0.3295362082994304,1.0991593015397634,1.034025420308113,0.0003485152847133577,0.0005414990009739995,0.0001929837162606418,50
