,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_weight_decay,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.658058666715435,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6284817334483651,0.5983236544662052,0.0008419331861659884,0.0008752797148190439,3.3346510463161394e-05
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6169456786969129,0.5787829981909858,0.0008568281773477793,0.0009081794414669275,5.135128230904229e-05
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.7333042826138291,0.533921958009402,0.001239972421899438,0.0013446384109556675,0.0001046660472638905
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6413402884614234,0.6982736638850635,0.0012649742420762777,0.002358200727030635,0.0010932264849543571
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6286318652770099,0.5291225347254012,0.0003099861787632108,0.0008698990568518639,0.0005599128780886531
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6184432845489651,0.6453099151452382,0.0005682019400410354,0.0006101756589487195,4.1973733459599316e-05
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,8,0.6887254901960784,0.8140556368960469,0.5991266813932681,0.4660329818725586,0.00078392936848104,0.0013371319510042667,0.0005532025825232267
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,9,0.6985294117647058,0.8177777777777778,0.5963569984716528,0.4848909030357997,0.0014255091082304716,0.0015022795414552093,7.67704623285681e-05
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,10,0.7107843137254902,0.8212121212121212,0.5696982776417452,0.5902705351511638,0.0009530382230877876,0.0011527715250849724,0.00019973331654909998
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,11,0.6666666666666666,0.7235772357723578,0.6284085120640549,0.4745575159788132,0.0011404441902413964,0.0013273799559101462,0.0001869357656687498
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,12,0.7254901960784313,0.8108108108108109,0.6022511682673997,0.43938506077975037,0.0017459305236116052,0.0021433259826153517,0.0003973954590037465
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,13,0.7058823529411765,0.8198198198198198,0.8202369804768002,0.30758747421205046,0.002348504727706313,0.002498428337275982,0.0001499236823292449
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,14,0.6911764705882353,0.8152492668621701,0.8388665850256004,0.3369119015522301,0.0019201085669919848,0.0022299562115222216,0.0003098476445302367
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,15,0.6936274509803921,0.8169838945827232,0.6702326729017145,0.31160571123473346,0.0016732998192310333,0.0017924518324434757,0.00011915203504031524
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,16,0.7230392156862745,0.8274809160305343,0.5529642502466837,0.27072310196235777,0.0019003780325874686,0.0020172428339719772,0.00011686483048833907
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,17,0.5612745098039216,0.5686746987951807,0.6624750126810635,0.4522315399721265,0.001096751424483955,0.0011675070272758603,7.075563189573586e-05
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,18,0.4877450980392157,0.4305177111716621,0.7483727651483872,0.4876002238597721,0.0016287049511447549,0.0017384164966642857,0.00010971153824357316
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,19,0.7132352941176471,0.8240601503759398,0.5499392102162043,0.4216975628165528,0.0012266961857676506,0.0020605202298611403,0.0008338240440934896
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.0001,0.001,SGD,0.001,20,0.7034313725490197,0.8202080237741456,0.6372439536247768,0.38291504415683447,0.00125772668980062,0.0015024078311398625,0.0002446811704430729
